RACE,POS D1,QUALI D1,ST D1,PTS D1,POS D2,QUALI D2,ST D2,PTS D2,POS D3,QUALI D3,ST D3,PTS D3,FAST LAP
Australia,1,1,1,10,3,4,4,6,2,2,2,8,Raikkonen
Malaysia,3,3,3,6,2,4,4,8,1,2,2,10,Hamilton
Bahrain,3,3,3,6,2,2,2,8,5,4,4,4,No
Spain,None,3,3,0,2,4,4,8,3,2,2,6,No
Monaco,8,16,16,1,2,2,2,8,1,1,1,10,Alonso
Canada,5,4,4,4,1,1,1,10,7,2,2,2,Alonso
United StatesÂ ,4,4,4,5,1,1,1,10,2,2,2,8,Raikkonen
France,1,3,3,10,3,2,2,6,7,10,10,2,No
Great Britain,1,2,2,10,3,1,1,6,2,3,3,8,Raikkonen
Europe,None,1,1,0,9,10,10,0,1,2,2,10,No
Hungary,2,4,3,8,1,2,1,10,4,1,6,5,Raikkonen
Turkey,2,3,3,8,5,2,2,4,3,4,4,6,Raikkonen
Italy,3,5,5,6,2,2,2,8,1,1,1,10,Alonso
Belgium,1,1,1,10,4,4,4,5,3,3,3,6,No
Japan,3,3,3,6,1,1,1,10,None,2,2,0,Hamilton
China,1,2,2,10,None,1,1,0,2,4,4,8,No
Brazil,1,3,3,10,7,2,2,2,3,4,4,6,Raikkonen