Date,V,Date2
2018-12-16,7,
2018-12-23,6,
2018-12-30,6,
2019-01-06,6,
2019-01-13,6,
2019-01-20,7,
2019-01-27,7,
2019-02-03,7,
2019-02-10,9,
2019-02-17,11,
2019-02-24,9,
2019-03-03,12,
2019-03-10,31,
2019-03-17,26,
2019-03-24,21,
2019-03-31,23,
2019-04-07,18,
2019-04-14,18,
2019-04-21,16,
2019-04-28,18,
2019-05-05,14,
2019-05-12,15,
2019-05-19,15,
2019-05-26,20,
2019-06-02,16,
2019-06-09,21,
2019-06-16,14,
2019-06-23,19,
2019-06-30,21,
2019-07-07,14,
2019-07-14,18,
2019-07-21,14,
2019-07-28,22,
2019-08-04,18,
2019-08-11,10,
2019-08-18,10,
2019-08-25,13,
2019-09-01,19,
2019-09-08,16,
2019-09-15,13,
2019-09-22,17,
2019-09-29,16,
2019-10-06,13,
2019-10-13,17,
2019-10-20,13,
2019-10-27,24,
2019-11-03,21,
2019-11-10,11,
2019-11-17,15,
2019-11-24,11,
2019-12-01,13,
2019-12-08,7,
2019-12-15,8,
2019-12-22,7,
2019-12-29,6,
2020-01-05,7,
2020-01-12,7,
2020-01-19,7,
2020-01-26,8,
2020-02-02,7,
2020-02-09,10,
2020-02-16,13,
2020-02-23,14,
2020-03-01,22,
2020-03-08,21,
2020-03-15,12,
2020-03-22,12,
2020-03-29,10,
2020-04-05,11,
2020-04-12,11,
2020-04-19,9,
2020-04-26,9,
2020-05-03,9,
2020-05-10,11,
2020-05-17,10,
2020-05-24,10,
2020-05-31,9,
2020-06-07,10,
2020-06-14,9,
2020-06-21,10,
2020-06-28,18,
2020-07-05,29,
2020-07-12,26,
2020-07-19,22,
2020-07-26,17,
2020-08-02,23,
2020-08-09,22,
2020-08-16,20,
2020-08-23,16,
2020-08-30,20,
2020-09-06,25,
2020-09-13,20,
2020-09-20,14,
2020-09-27,17,
2020-10-04,14,
2020-10-11,18,
2020-10-18,15,
2020-10-25,19,
2020-11-01,13,
2020-11-08,13,
2020-11-15,17,
2020-11-22,13,
2020-11-29,31,
2020-12-06,25,
2020-12-13,19,
2020-12-20,12,
2020-12-27,9,
2021-01-03,9,
2021-01-10,10,
2021-01-17,8,
2021-01-24,9,
2021-01-31,9,
2021-02-07,8,
2021-02-14,9,
2021-02-21,10,
2021-02-28,12,
2021-03-07,14,
2021-03-14,15,
2021-03-21,37,
2021-03-28,38,
2021-04-04,21,
2021-04-11,26,
2021-04-18,41,
2021-04-25,28,
2021-05-02,36,
2021-05-09,27,
2021-05-16,24,
2021-05-23,32,
2021-05-30,25,
2021-06-06,34,
2021-06-13,24,
2021-06-20,35,
2021-06-27,32,
2021-07-04,30,
2021-07-11,29,
2021-07-18,37,
2021-07-25,22,
2021-08-01,34,
2021-08-08,18,
2021-08-15,16,
2021-08-22,22,
2021-08-29,36,
2021-09-05,35,
2021-09-12,34,
2021-09-19,25,
2021-09-26,29,
2021-10-03,22,
2021-10-10,30,
2021-10-17,35,
2021-10-24,46,
2021-10-31,24,
2021-11-07,46,
2021-11-14,43,
2021-11-21,33,
2021-11-28,27,
2021-12-05,56,
2021-12-12,60,
2021-12-19,18,
2021-12-26,15,
2022-01-02,17,
2022-01-09,15,
2022-01-16,14,
2022-01-23,14,
2022-01-30,14,
2022-02-06,20,
2022-02-13,21,
2022-02-20,23,
2022-02-27,21,
2022-03-06,31,
2022-03-13,67,
2022-03-20,81,
2022-03-27,72,
2022-04-03,46,
2022-04-10,48,
2022-04-17,45,
2022-04-24,48,
2022-05-01,56,
2022-05-08,71,
2022-05-15,32,
2022-05-22,49,
2022-05-29,48,
2022-06-05,33,
2022-06-12,49,
2022-06-19,45,
2022-06-26,33,
2022-07-03,69,
2022-07-10,45,
2022-07-17,32,
2022-07-24,52,
2022-07-31,44,
2022-08-07,23,
2022-08-14,22,
2022-08-21,32,
2022-08-28,42,
2022-09-04,44,
2022-09-11,34,
2022-09-18,23,
2022-09-25,25,
2022-10-02,44,
2022-10-09,38,
2022-10-16,38,
2022-10-23,52,
2022-10-30,39,
2022-11-06,32,
2022-11-13,47,
2022-11-20,33,
2022-11-27,14,
2022-12-04,13,
2022-12-11,13,
2022-12-18,12,
2022-12-25,12,
2023-01-01,12,
2023-01-08,13,
2023-01-15,13,
2023-01-22,14,
2023-01-29,17,
2023-02-05,16,
2023-02-12,18,
2023-02-19,30,
2023-02-26,61,
2023-03-05,59,
2023-03-12,41,
2023-03-19,58,
2023-03-26,40,
2023-04-02,47,
2023-04-09,25,
2023-04-16,25,
2023-04-23,38,
2023-04-30,61,
2023-05-07,63,
2023-05-14,31,
2023-05-21,40,
2023-05-28,63,
2023-06-04,41,
2023-06-11,34,
2023-06-18,44,
2023-06-25,34,
2023-07-02,47,
2023-07-09,45,
2023-07-16,36,
2023-07-23,52,
2023-07-30,37,
2023-08-06,22,
2023-08-13,20,
2023-08-20,28,
2023-08-27,43,
2023-09-03,41,
2023-09-10,32,
2023-09-17,48,
2023-09-24,40,
2023-10-01,38,
2023-10-08,42,
2023-10-15,48,
2023-10-22,64,
2023-10-29,58,
2023-11-05,58,
2023-11-12,97,
2023-11-19,100,
2023-11-26,40,
2023-12-03,19,