RACE,POS D1,QUALI D1,PTS D1,POS D2,QUALI D2,PTS D2,FAST LAP
Brazilian,None,6,0,1,4,9,Prost
South Africa,1,8,9,2,5,6,No
Belgium,None,14,0,None,8,0,No
Imola,None,5,0,1,2,9,No
France,1,9,9,7,5,0,Lauda
Monaco,None,8,0,1,1,4.5,No
Canada,2,8,6,3,2,4,No
Detroit,None,10,0,4,2,3,No
Dallas,None,5,0,None,7,0,Lauda
Great Britain,1,3,9,None,2,0,Lauda
Germany,2,7,6,1,1,9,Prost
Austria,1,4,9,None,2,0,Lauda
Netherlands,2,6,6,1,1,9,No
Italy,1,4,9,None,2,0,Lauda
Europe,4,15,3,1,2,9,No
Portugal,2,11,6,1,2,9,Lauda